categoria,codigo,descricao,unidade,preco_unitario
equipamento_informatica,59,"Antena para microfone externa amplificada","Diária","52,97"
equipamento_informatica,60,"Base Receptora De Sinal De Microfone","Diária","105,77"
equipamento_informatica,61,"Canhão Seguidor","Diária","113,22"
equipamento_informatica,62,"Caixa de Som Multimídia a prova d'água","Diária","132,36"
equipamento_informatica,63,"Caixa Line Array - 2x8"" + Drive","Diária","154,35"
equipamento_informatica,64,"Caixas De Som Ativa 10"", 12"" Ou 15"" - 1000 Watts","Diária","132,36"
equipamento_informatica,65,"Equipamento de iluminação de pequeno porte (até 200 pessoas)","Diária","1.059,96"
equipamento_informatica,66,"Equipamento de iluminação de médio porte (de 200 a 600 pessoas)","Diária",0
equipamento_informatica,67,"Equipamento de iluminação de grande porte (mais de 600 pessoas)","Diária",0
equipamento_informatica,68,"Gerenciador de Espectro","Diária",0
equipamento_informatica,69,"Impressora laser colorida com toner e papel","Diária","264,87"
equipamento_informatica,70,"Interface de áudio","Diária",0
equipamento_informatica,71,"Infraestrutura de redes","Diária","128,62"
equipamento_informatica,72,"Link Dedicado De Internet Com Capacidade Mínima De 100 Mb/S Full Duplex","Diária","158,75"
equipamento_informatica,73,"Link dedicado de internet de 300 mb/s full duplex","Diária","152,66"
equipamento_informatica,74,"Main Power","Diária","158,75"
equipamento_informatica,75,"Microfone Com Fio","Diária","39,43"
equipamento_informatica,76,"Microfone Condensador","Diária","39,44"
equipamento_informatica,77,"Microfone Sem Fio","Diária","39,43"
equipamento_informatica,78,"Mesa De Som De 12 Canais","Diária","132,35"
equipamento_informatica,79,"Mesa De Som De 32 Canais","Diária","180,08"
equipamento_informatica,80,"Moving Beam 200","Diária","132,36"
equipamento_informatica,81,"Monitor LED","Diária",0
equipamento_informatica,82,MULTILINK,"Diária","104,94"
equipamento_informatica,83,Nobreak,"Diária","103,42"
equipamento_informatica,84,Notebook,"Diária",0
equipamento_informatica,85,"Passa cabos","Metro linear/dia","18,45"
equipamento_informatica,86,"Painel de Led I (Indoor) - P2",m2/dia,"185,32"
equipamento_informatica,87,"Passador de Slides sem Fio","Diária","20,98"
equipamento_informatica,88,"Pedestal de Mesa","Diária",0
equipamento_informatica,89,"Pedestal tipo girafa para microfone","Diária","15,74"
equipamento_informatica,90,"Ponto de internet com acesso e tempo ilimitado","Diária","41,13"
equipamento_informatica,91,"Ponto elétrico para tomadas e extensão (D.A)","Diária","18,45"
equipamento_informatica,92,"Projetor de Multimídia - 10.000 Ansi lumens","Diária","519,40"
equipamento_informatica,93,"Projetor de Multimídia - 20.000 Ansi lumens","Diária","497,40"
equipamento_informatica,94,"Rádio Comunicador HT","Diária","20,99"
equipamento_informatica,95,"Serviço Técnico de Iluminação","Diária","476,76"
equipamento_informatica,96,"Serviço Técnico de Sonorização","Diária","476,76"
equipamento_informatica,97,"Set Cabos e Acessórios","Diária","158,76"
equipamento_informatica,98,"Sistema completo de Credenciamento","Diária",0
equipamento_informatica,99,"Sonorização completa para apresentação cultural","Diária","1.059,96"
equipamento_informatica,100,"Show Link","Diária",0
equipamento_informatica,101,"Sub Woofer 2x12","Diária","105,78"
equipamento_informatica,102,"Sub Woofer Acoplado Com 1000w - Caixa Coluna Com Tipo Line Array","Diária","132,35"
equipamento_informatica,103,"Switch 10/100 Ethernet 8 portas","Diária","158,76"
equipamento_informatica,104,"Switcher de Vídeo","Diária","105,78"
equipamento_informatica,105,"Tela para Projeção 2,40x1,80m","Diária","263,34"
equipamento_informatica,106,"Tela para Projeção 4,00x3,00m (120')","Diária","317,84"
equipamento_informatica,107,"Tripé/Suporte de Caixa","Diária","36,90"
